Pregunta,Profesor1,Profesor2,Profesor3,Profesor4
Especialidad,Me especialice en Machine Learning,Me especialice en Ciencia de Datos,Me especialice en Inteligencia Artificial y Data Science,Me especialice en Ingenería Financiera con Ciencia de Datos
5.Actualmente ¿En donde trabajas?,Trabajo en la UPCH,Trabajo en la UPCH," docente en UNI,Cayetano y frelance",BCP y UPCH
6.¿Cuántos años de experiencia tiene en la enseñanza de Ingeniería Informática?,"En 2017 como profe, 7 años y un poquito más",Aproximamente 1 año ,aproximadamente 3 años,3 años de experiencia en la enseñanza
"7,¿En qué especialidad(es) de Ingeniería Informática se enfoca principalmente?","Durante mis primeros años en la universidad, empecé trabajando en el área de desarrollo, pero enfocado en proyectos científicos. De hecho, trabajé tres años en la Universidad Católica en un proyecto llamado Legión, el cual combinaba desarrollo de software y computación distribuida.

Con el tiempo, fui cambiando de área. En el 2013, cuando comencé mi maestría, me especialicé completamente en Machine Learning, y desde entonces he permanecido en esa área. Dentro de Machine Learning, me he dedicado principalmente a subáreas como Deep Learning y Visión Computacional. Desde el 2013, esta ha sido mi especialización principal.","La Ciencia de Datos se enfoca en varias especialidades clave que son fundamentales para el análisis y la interpretación de datos. En primer lugar, la estadística juega un papel crucial, ya que nos permite extraer conclusiones significativas a partir de conjuntos de datos. Sin una base estadística sólida, sería difícil comprender las tendencias y patrones que emergen de la información que analizamos.

En segundo lugar, las matemáticas proporcionan las bases teóricas necesarias para desarrollar algoritmos y modelos predictivos. Es esencial tener un buen dominio de conceptos matemáticos para poder crear soluciones efectivas que se basen en datos.","Tengo dos campos de acción, el primero es programación y el segundo está relacionado (1:11)  con Inteligencia Artificial y Data Science.","Mi enfoque principal está en la Ingeniería Financiera, una especialidad que combina matemáticas, estadística y conceptos financieros para resolver problemas relacionados con inversiones, gestión de riesgos y valoración de activos."
"8,¿Cómo describiría su trayectoria profesional en el campo de la Ingeniería Informática?","A lo largo de mi carrera, me he enfocado principalmente en investigación y docencia. Aunque mi área es la Ingeniería Informática, gran parte de mi trayectoria ha estado ligada a la investigación, especialmente en problemas relacionados con las ciencias de la vida, y en menor medida, a la docencia. Esto no implica un ejercicio constante en la informática práctica, pero sí he tenido incursiones en aspectos técnicos a lo largo de mi carrera.

Al inicio, trabajé en desarrollo de software y estuve involucrado en proyectos en empresas en Brasil, donde participé en áreas como Visión Computacional y Fotografía Computacional. También tuve experiencia en la integración de sistemas médicos, desarrollando software para protocolos de informática médica.

Aunque he tenido estas experiencias técnicas, la mayoría de mi carrera en la informática ha estado centrada en el ámbito académico, es decir, en la docencia y la investigación, con algunas incursiones específicas en problemas de la industria y el desarrollo de software.","La trayectoria profesional en Ciencia de Datos se divide en varias etapas clave. Primero, los profesionales suelen comenzar con una sólida formación académica en matemáticas, estadística, informática o ingeniería, y muchos optan por posgrados en el área.

Luego, desarrollan habilidades técnicas, aprendiendo a programar en lenguajes como Python y R, manejando bases de datos con SQL y utilizando herramientas de visualización como Tableau o Power BI. A continuación, la experiencia práctica es fundamental, por lo que muchos comienzan en roles de analista o en prácticas, lo que les permite aplicar conocimientos en proyectos reales y construir un portafolio.","Diría que es una trayectoria correcta para al menos los puntos que se han tratado en clases, así que esa sería mi respuesta. Ahora pasamos al contexto de por qué eligió estudiar Ingeniería Informática. La pregunta es","Mi trayectoria profesional en el campo de la Ingeniería, específicamente en Ingeniería Financiera, se centra en el uso de herramientas cuantitativas avanzadas para resolver problemas complejos en el ámbito financiero. A lo largo de estos años, he trabajado con modelos matemáticos y estadísticos que permiten optimizar la toma de decisiones, diseñar estrategias de gestión de riesgos e implementar soluciones tecnológicas. "
¿Qué fue lo que los motivó a estudiar la carrera de Ingeniería Informática/carrera? ¿Recuerdas algún momento específico que te hizo decidir por esta carrera?,"Mi motivación para estudiar Ingeniería Informática comenzó desde una edad temprana. La primera vez que vi una computadora, tenía alrededor de 6 o 7 años, y quedé fascinado. Era un equipo muy diferente a lo que tenemos hoy; una pantalla negra de terminal con algunos juegos, pero esa experiencia me marcó. Desde ese momento, en mi mente siempre estuvo presente la intención de hacer algo con computadoras, aunque no sabía exactamente cómo se llamaría esa actividad. Pensaba que podría ser Ingeniería de Sistemas.

A medida que fui creciendo, consideré otras opciones, como el arte, influenciado por mi profesor de arte en el colegio. ","Mi motivación principal era incluirme en una carrera de tecnología y bueno tambien estudiar en la Universidad Nacional Mayor de San Marcos, esa era mi intención al comienzo. 
Entonces buscando una carrera encontré la carrera de composición científica en San Marcos, que era muy similar a la carrera de ciencias de la computación que se dedicaban en otras universidades y en poco la curricula que voy a poder sacar. 

Algunas personas que ya habían estudiado ciertas carreras relacionadas con la tecnología, trabajaban en empresas donde se hablaba mucho sobre este tema. Ellos ya tenían conocimientos más avanzados en informática y de alguna manera aplicaban lo que estaban aprendiendo en sus trabajos.
Creo que lo que motivó más a estas personas fue el hecho de que la carrera que estudiaban tenía muchos campos de aplicación, no solo en tecnología, sino también en áreas como logística, minería, química, física, etc. Es una carrera muy amplia donde se puede aplicar lo aprendido en diversas industrias.","En general yo estudié sistemas, anteriormente estaba en matemática pura.
De matemática pura me pasé a sistemas porque era un campo de acción más aplicativo principalmente. En general esas expectativas han cambiado conforme ha ido evolucionando mi paso por la carrera. Originalmente pensé que era únicamente programar, dado que estudié sistemas, pero posteriormente me di cuenta que estaba más orientado a gerenciación y gestión.","No estudié Ingeniería, sino Matemáticas. Sin embargo, la motivación detrás de mi elección fue muy clara y provino de un interés personal profundo por las ciencias exactas. Desde joven, siempre me fascinó la manera en que las matemáticas ofrecen respuestas precisas y lógicas a problemas complejos. Esto, sumado a mi curiosidad por entender el funcionamiento de los sistemas económicos y financieros, me llevó a tomar la decisión de estudiar matemáticas, una carrera que me proporciona las herramientas necesarias para abordar desafíos tanto abstractos como aplicados.

Sí, el momento decisivo para mí fue, efectivamente, el gusto por las matemáticas desde la etapa escolar, pero también hubo algunos momentos clave que consolidaron mi decisión."
"¿Fue por interés personal, influencia familiar, o una recomendación profesional?",Familiar,"Fue por recomendación y también influencia personal.
Era una carrera que nadie conoce, entonces el motivo más que todo fue buscar personas que ya hayan llevado la carrera o que estén lllegando actualmente en ese momento e informarme de  que trataban como motivación personal.",,fue principalmente por interés personal.
¿Qué expectativas tenías antes de comenzar tus estudios? ¿Esas expectativas cambiaron a lo largo del tiempo? ¿Cómo?,"Me sorprendió que el contenido no se alineaba con mis expectativas sobre la carrera. Inicialmente, pensé que la informática se limitaba a la programación, pero con el tiempo descubrí que abarcaba muchas otras áreas, algo que realmente comenzamos a entender en el tercer y cuarto año. Entré con una idea bastante vaga de lo que significaba la carrera, y fue un proceso lento para mí y mis compañeros comprender en su totalidad lo que implicaba estudiar Ingeniería Informática.                                                                 En los primeros años de mi carrera, tuvimos solo un curso introductorio de programación en el primer año, y en el segundo, un curso completo. Sin embargo, no fue hasta el tercer año que comenzamos a profundizar en programación, ya que los cursos iniciales estaban más enfocados en matemáticas, física, química y dibujo, además de un curso de teología que era parte del plan en la Universidad Católica en ese momento.","Al principio, mis expectativas eran bastante bajas. Los costos involucrados parecían solo una cuestión de matemática pura. Sin embargo, a medida que avanzaba en el proceso y comenzaba a implementar lo que estaba aprendiendo, empecé a notar un sinfín de oportunidades para aplicar esos conocimientos. Esto me permitió visualizar distintas aplicaciones en situaciones concretas, lo que me motivó a seguir adelante. Así, mis expectativas comenzaron a crecer, impulsadas por las posibilidades que descubría en el camino.

","Esas expectativas han cambiado. Originalmente pensé que era únicamente programar, pero después vi que estaba más orientado a la gerencia y gestión.","Sufrieron muchos cambios. Primero pensé en desarrollar una carrera académica, cosa que cambió y ahora estoy en el sector industrial"
¿Qué aspectos de la carrera te han sorprendido o no esperabas?,"Uno de los aspectos que más me sorprendió de la carrera fue la cantidad de física que tuvimos que estudiar. También esperaba encontrarme con más contenido relacionado con software y programación. En mi época en la Universidad Católica, la carrera estaba más enfocada en la gestión de proyectos de software.

Me sorprendió no ver una mayor cantidad de temas sobre algoritmos y programación. En su lugar, hubo un enfoque considerable en la gestión y documentación de proyectos. Este énfasis en la gestión no era algo que anticipara, y en realidad, no era un aspecto que me gustara tanto en ese momento.","Me sorprendió que en la carrera hubiera al menos un 60 a 70% de cursos de matemáticas. También noté la conexión entre estos cursos y los de mi carrera, aunque algunos parecían irrelevantes; supongo que sirven para llenar vacíos de conocimiento. Además, me impresionó cómo se podía aplicar todo lo aprendido.","Me sorprendió el área de Machine Learning, Inteligencia Artificial y Visión Computacional.","La versatilidad de la carrera ha sido, sin duda, uno de los aspectos que más me ha sorprendido y que no esperaba en su magnitud.  
Lo que más me sorprendió fue cómo las pueden aplicar no solo en campos científicos como la física, sino también en áreas como finanzas, ingeniería, tecnología y hasta en campos sociales como la economía y la psicología. Esta versatilidad me permitió explorar diferentes áreas y encontrar mi verdadera pasión en la ingeniería financiera."
"¿Qué especialidad dentro de la Ingeniería Informática decidiste estudiar?¿Qué te llevó a elegir esa especialidad en particular?
¿Hubo algún proyecto, profesor o experiencia que te influenció a decidir por esa área?
","Desde el inicio de mi carrera, siempre me llamó la atención la idea de que las computadoras pudieran exhibir algún tipo de comportamiento inteligente a través de los programas que desarrollábamos. Sin embargo, con los proyectos que hacíamos en la carrera —como juegos, CRMs o programas de optimización de portafolios de inversión— no lograba ver ese tipo de inteligencia en acción.

Aunque llevé un curso de inteligencia artificial como electivo, no era lo que hoy conocemos como Machine Learning. De hecho, ni siquiera mencionaban este concepto en ese momento. Fue alrededor de 2010, cuando Coursera apenas estaba surgiendo, que descubrí un curso en línea sobre Machine Learning impartido por Andrew Ng, uno de los pioneros en la materia. Eso fue un punto de inflexión para mí. Lo que más me sorprendió fue la capacidad de crear programas que pudieran aprender por sí mismos, sin la necesidad de ser programados en detalle. Para mí, esto representaba un cambio de paradigma total.

En esa época, no contaba con la base matemática necesaria ni los recursos locales para profundizar en el tema, por lo que decidí buscar una maestría en Brasil. En el primer semestre, llevé un curso de Machine Learning y otro sobre procesamiento de imágenes. Fue ahí donde trabajamos con redes neuronales convolucionales, implementándolas desde cero en C. Lo que me impactó profundamente fue ver cómo estas redes eran capaces no solo de aprender, sino de procesar imágenes crudas y extraer información relevante automáticamente. Ahí fue cuando supe que quería dedicarme de lleno a este campo.

Aunque el proceso de profundizar en los métodos y las matemáticas detrás de estas técnicas me llevó más tiempo, ese fue el momento en que mi interés en Machine Learning y el aprendizaje automático realmente despegó. La capacidad de los algoritmos para aprender de los datos de forma cada vez más automática me fascinó, y desde entonces, esa ha sido mi área de enfoque.",Me centre estudiando Ciencia de Datos por el interés en la analítica y la creciente demanda en el campo. Un proyecto académico sobre tendencias de consumo y la influencia de un profesor con experiencia en la industria fueron clave en su decisión. Participar en hackatones también consolidó su interés al aplicar habilidades en un entorno práctico.,"Mi principal especialidad estaba relacionada con programación y autómatas, pero luego pivoté hacia Inteligencia Artificial y Data Science por el boom de estas áreas.  Sí, un proyecto relacionado con Visión Computacional mientras estudiaba el máster en informática.Me interesaban telecomunicaciones, pero el tiempo limitado me hizo decidir por programación e Inteligencia Artificial.","Me enfoqué en Economía Matemáticas, pues tenía resultados matemáticos bellos con lectura económica como el Teorema de la existencia de un equilibrio de Nash para juegos no cooperativos

En realidad, no hubo un proyecto, profesor o experiencia específica que me haya influenciado de manera directa para decidirme por la Ingeniería Financiera. Mi elección fue el resultado de una combinación de interés personal y de la curiosidad por entender cómo las matemáticas pueden aplicarse al mundo real, especialmente en el ámbito financiero."
